objName,objID,projectionID,skyCellID,randomID,objInfoFlag,qualityFlag,raMean,decMean,raMeanErr,decMeanErr,epochMean,posMeanChisq,nStackObjectRows,nStackDetections,nDetections,primaryDetection,bestDetection,gPSFMag,gPSFMagErr,gKronMag,gKronMagErr,ginfoFlag,ginfoFlag2,ginfoFlag3,gpsfQf,gpsfQfPerfect,gPSFFlux,gPSFFluxErr,gKronFlux,gKronFluxErr,gKronRad,rPSFMag,rPSFMagErr,rKronMag,rKronMagErr,rinfoFlag,rinfoFlag2,rinfoFlag3,rpsfQf,rpsfQfPerfect,rPSFFlux,rPSFFluxErr,rKronFlux,rKronFluxErr,rKronRad,iPSFMag,iPSFMagErr,iKronMag,iKronMagErr,iinfoFlag,iinfoFlag2,iinfoFlag3,ipsfQf,ipsfQfPerfect,iPSFFlux,iPSFFluxErr,iKronFlux,iKronFluxErr,iKronRad,zPSFMag,zPSFMagErr,zKronMag,zKronMagErr,zinfoFlag,zinfoFlag2,zinfoFlag3,zpsfQf,zpsfQfPerfect,zPSFFlux,zPSFFluxErr,zKronFlux,zKronFluxErr,zKronRad,yPSFMag,yPSFMagErr,yKronMag,yKronMagErr,yinfoFlag,yinfoFlag2,yinfoFlag3,ypsfQf,ypsfQfPerfect,yPSFFlux,yPSFFluxErr,yKronFlux,yKronFluxErr,yKronRad,Ang Sep ('),redshift,W1mag,W2mag,W3mag,zDEC,e_W1mag,e_W2mag,e_W3mag,Jmag,e_Jmag
PSO J104819.094-010940.239,106601620795587008,1273,79,0.722350139843625,1375809536,164,162.0795613,-1.1611778,0.185,0.185,56455.26936343,-999,-999,1,1,1,0,24.094,0.39,-999,-999,35651585,4,196608,0.999,0.999,8.361e-07,3.262e-07,-999,-999,-999,-999,1.406,-999,-999,35651585,4,196608,0.999,0.999,-3.08e-07,4.329e-07,-999,-999,-999,24.253,0.84,-999,-999,35651585,4,196608,0.999,0.999,7.221e-07,6.068e-07,-999,-999,-999,23.515,0.527,-999,-999,35651585,4,196608,0.998,0.998,1.426e-06,7.519e-07,-999,-999,-999,21.001,0.139,21.184,0.286,35651585,0,196608,0.996,0.996,1.445e-05,2.008e-06,1.22e-05,3.491e-06,2.651,0.001,6.6759,17.344,17.011,12.521,22.01,0.172,0.472,NaN,19.714810,0.173288
PSO J223255.128+293032.526,143413382297060992,2004,32,0.473667148010495,1384198144,165,338.2297036,29.5090353,0.16,0.16,55346.56885417,-999,-999,1,1,1,0,-999,0.82,-999,-999,35651585,4,196608,0.998,0.998,-4.102e-07,3.364e-07,-999,-999,-999,26.779,3.972,-999,-999,35651585,4,196608,0.997,0.997,7.054e-08,2.802e-07,-999,-999,-999,25.435,2.077,-999,-999,35651585,4,196608,0.997,0.997,2.432e-07,5.051e-07,-999,-999,-999,24.315,1.576,-999,-999,35651585,4,196608,0.998,0.998,6.825e-07,1.075e-06,-999,-999,-999,20.315,0.088,20.267,0.126,35651585,0,196608,0.996,0.996,2.717e-05,2.391e-06,2.839e-05,3.578e-06,2.279,0.008,6.666, 17.813,16.702,12.043,21.2,0.211,NaN,NaN,19.430452,0.142635
PSO J213233.185+121755.192,122753231382818000,1669,5,0.894286995655193,436527104,52,323.1382731,12.2986645,0.018,0.021,56392.74561343,0.754,-999,2,19,1,1,-999,0.567,-999,-999,35651585,4,196608,0.999,0.999,-6.042e-07,3.429e-07,-999,-999,-999,27.614,8.806,-999,-999,35651585,4,196608,0.997,0.997,3.27e-08,2.879e-07,-999,-999,-999,26.259,4.356,-999,-999,35651585,4,196608,0.997,0.997,1.139e-07,4.962e-07,-999,-999,-999,21.58,0.095,21.871,0.169,35651585,0,196608,0.997,0.997,8.472e-06,8.007e-07,6.479e-06,1.095e-06,1.923,19.269,0.023,-999,-999,102760517,128,196608,0.998,0.998,7.117e-05,1.653e-06,-999,-999,-999,0.004,6.5881,16.356,15.633,12.311,19.78,0.068,0.116,NaN,18.710070,0.106590
PSO J022601.863+030259.355,111660365078720000,1331,73,0.205235843737829,436527104,52,36.5077656,3.0498209,0.03,0.021,56393.85355324,0.392,-999,2,15,1,1,23.404,0.372,-999,-999,35651585,4,196608,0.998,0.998,1.578e-06,5.874e-07,-999,-999,-999,24.697,0.819,-999,-999,35651585,4,196608,0.998,0.998,4.8e-07,3.934e-07,-999,-999,-999,23.589,0.221,-999,-999,35651585,4,196608,0.997,0.997,1.332e-06,2.945e-07,-999,-999,-999,21.498,0.111,21.599,0.186,35651585,0,196608,0.997,0.997,9.133e-06,1.009e-06,8.327e-06,1.547e-06,2.118,19.337,0.026,19.406,0.041,102760453,128,196608,0.996,0.996,6.687e-05,1.719e-06,6.275e-05,2.604e-06,2.075,0.0007023,6.541,16.726,16.135,12.03,20.07,0.082,0.177,NaN,18.518650,0.101217
PSO J172408.753+190142.937,130832610364594000,1740,71,0.65954285083296,1375809536,164,261.0364724,19.0285936,0.18,0.18,56527.30667824,-999,-999,1,1,1,0,-999,0.506,-999,-999,35651585,4,196608,1,1,-4.107e-07,2.08e-07,-999,-999,-999,27.411,7.546,-999,-999,35651585,4,196608,0.999,0.999,3.94e-08,2.973e-07,-999,-999,-999,23.684,0.343,-999,-999,35651585,4,196608,0.999,0.999,1.22e-06,4.186e-07,-999,-999,-999,23.956,0.847,-999,-999,35651585,4,196608,0.999,0.999,9.502e-07,8.051e-07,-999,-999,-999,20.963,0.119,21.305,0.208,35651585,0,196608,0.998,0.998,1.496e-05,1.778e-06,1.091e-05,2.272e-06,1.968,0.003,6.44,17.912,16.864,12.354,21.54,0.211,NaN,NaN,NaN,NaN
PSO J121226.980+050533.581,114111831124251008,1457,22,0.71685287143742,436527104,52,183.1124199,5.0926615,0.047,0.024,55914.26854167,0.274,-999,2,7,1,1,27.83,14.014,-999,-999,35651585,4,196608,0.999,0.999,2.679e-08,3.754e-07,-999,-999,-999,-999,0.381,-999,-999,35651585,4,196608,0.999,0.999,-1.265e-06,4.819e-07,-999,-999,-999,24.149,0.604,-999,-999,35651585,4,196608,0.998,0.998,7.949e-07,4.801e-07,-999,-999,-999,21.682,0.088,21.877,0.134,35651585,0,196608,0.999,0.999,7.712e-06,6.768e-07,6.443e-06,8.609e-07,1.93,19.999,0.054,20.077,0.081,35651585,0,196608,0.997,0.997,3.633e-05,1.951e-06,3.381e-05,2.74e-06,2.077,0.003,6.4386,16.966,16.455,12.503,20.68,0.129,0.333,NaN,NaN,NaN
PSO J110421.589+213428.742,133891660899540000,1803,37,0.778700711930823,1375805440,164,166.0899542,21.5746507,0.026,0.066,55551.41385417,0.563,-999,1,5,1,0,26.022,2.395,-999,-999,35651585,4,196608,1,1,1.416e-07,3.391e-07,-999,-999,-999,25.02,0.928,-999,-999,35651585,4,196608,0.998,0.998,3.566e-07,3.308e-07,-999,-999,-999,24.015,0.602,-999,-999,35651585,4,196608,1,1,8.991e-07,5.416e-07,-999,-999,-999,23.892,0.775,-999,-999,35651585,4,196608,0.998,0.998,1.008e-06,7.81e-07,-999,-999,-999,19.953,0.058,19.758,0.079,35651585,0,196608,0.997,0.997,3.793e-05,2.198e-06,4.537e-05,3.604e-06,2.482,0.001,6.74,17.31,16.173,12.65,21.12,0.156,0.210,NaN,19.010925,0.11823
PSO J083737.832+492900.545,167381294076470016,2311,39,0.908206953581615,1375805440,164,129.4076345,49.4834849,0.025,0.028,55713.53215278,0.151,-999,1,3,1,0,-999,0.693,-999,-999,35651585,4,196608,0.999,0.999,-5.527e-07,3.829e-07,-999,-999,-999,-999,0.407,-999,-999,35651585,4,196608,0.999,0.999,-1.07e-06,4.352e-07,-999,-999,-999,24.651,1.116,-999,-999,35651585,4,196608,0.999,0.999,5.008e-07,5.587e-07,-999,-999,-999,26.31,7.624,-999,-999,35651585,4,196608,0.998,0.998,1.087e-07,8.284e-07,-999,-999,-999,19.895,0.065,20.112,0.115,35651585,0,196608,0.998,0.998,4.001e-05,2.596e-06,3.276e-05,3.77e-06,2.171,0.0003114,6.71,17.082,15.797,12.578,NaN,0.114,0.123,NaN,19.268372,0.168614
PSO J121627.565+451910.663,162381841148353984,2258,37,0.382806196234008,1375809536,164,184.1148551,45.3196286,0.147,0.147,56445.25479167,-999,-999,1,1,1,0,27.921,12.221,-999,-999,35651585,4,196608,0.999,0.999,2.464e-08,3.011e-07,-999,-999,-999,-999,0.712,-999,-999,35651585,4,196608,0.998,0.998,-5.301e-07,3.775e-07,-999,-999,-999,25.059,1.33,-999,-999,35651585,4,196608,0.998,0.998,3.439e-07,4.574e-07,-999,-999,-999,23.448,0.488,-999,-999,35651585,4,196608,0.998,0.998,1.517e-06,7.402e-07,-999,-999,-999,20.63,0.087,20.805,0.136,35651585,0,196608,0.996,0.996,2.032e-05,1.768e-06,1.73e-05,2.36e-06,2.099,0.001,6.654,17.273,16.158,12.624,NaN,0.126,0.163,NaN,NaN,NaN
PSO J091054.527-041406.847,102911377272478000,1177,94,0.559142980313993,1343750144,160,137.7271973,-4.2352355,0.001,0.001,56163.72890046,-999,-999,1,0,1,0,26.123,2.462,-999,-999,35651585,4,196608,0.999,0.999,1.291e-07,3.179e-07,-999,-999,-999,-999,0.783,-999,-999,35651585,4,196608,0.999,0.999,-6.063e-07,4.75e-07,-999,-999,-999,24.286,0.559,-999,-999,35651585,4,196608,0.998,0.998,7.006e-07,3.913e-07,-999,-999,-999,24.715,1.993,-999,-999,35651585,4,196608,0.998,0.998,4.719e-07,9.404e-07,-999,-999,-999,20.782,0.127,20.09,0.132,35667969,0,196608,0.997,0.997,1.766e-05,2.247e-06,3.342e-05,4.414e-06,2.434,0.001,6.63,16.793,15.86,12.314,21.97,0.096,0.153,NaN,NaN,NaN
