Name PS1imag	e_PS1imag PS1zmag e_PS1zmag PS1ymag e_PS1ymag W1mag e_W1mag W2mag e_W2mag W3mag e_W3mag Jmag e_Jmag r_Jmag E(B-V)
P000+26     21.25  0.04 19.28  0.02 19.52  0.04 19.07  0.07 18.61  0.11 12.59  0.50 19.53  0.02  1 0.04
J0002+2550  21.82  0.06 19.07  0.01 19.40  0.04 18.86  0.06 18.88  0.13 12.42  0.42 19.42  0.09  2 0.04
J0005-0006  23.30  0.24 20.44  0.04 20.99  0.16 20.00  0.16 20.38  0.50 12.45  0.50 20.81  0.10  7 0.03
P002-06     22.68  0.13 20.25  0.03 20.42  0.10 19.51  0.11 19.02  0.14 11.89  0.50 19.86  0.14  1 0.03
P004-24     22.31  0.14 19.62  0.02 19.43  0.04 18.98  0.07 18.91  0.12 12.12  0.34 19.30  0.08  1 0.01
P007+04     22.84  0.16 20.56  0.05 20.12  0.07 19.97  0.16 19.75  0.29 12.25  0.50 19.77  0.11 20 0.01
P009-08     21.98  0.07 19.91  0.03 20.16  0.07 19.60  0.11 19.69  0.26 12.20  0.50 19.79  0.08  1 0.04
P009-10     23.79 -1.00 20.82  0.04 20.22  0.07 19.22  0.08 19.20  0.16 12.20  0.50 19.93  0.07  1 0.03
J0050+3445  23.23 -1.00 20.98  0.07 20.14  0.07 19.35  0.07 19.13  0.12 12.93  0.50 19.89  0.04 15 0.08
J0100+2802  20.76  0.04 18.61  0.01 17.62  0.01 17.16  0.03 16.98  0.03 11.72  0.21 17.64  0.02  2 0.06
P021-25     22.17  0.09 19.66  0.03 19.62  0.10 18.91  0.06 18.83  0.11 12.53  0.42 19.21  0.05  1 0.02
P023-02     22.98  0.16 20.19  0.03 20.28  0.09 19.20  0.07 18.82  0.10 12.01  0.50 19.78  0.10  1 0.03
P025-11     22.72  0.11 20.18  0.03 19.85  0.07 19.37  0.08 19.26  0.15 12.26  0.43 19.65  0.06  1 0.02
J0148+0600  22.50  0.09 19.45  0.01 19.37  0.04 18.80  0.06 18.61  0.10 12.18  0.29 19.30  0.07  3 0.06
P029-29     22.03  0.09 19.48  0.02 19.44  0.04 18.81  0.05 18.58  0.08 12.01  0.29 19.07  0.04  1 0.01
J0203+0012  23.77  0.27 20.74  0.06 20.42  0.09 19.39  0.09 19.36  0.19 12.32  0.40 19.99  0.08 10 0.03
P036+03     23.54  0.24 21.44  0.12 19.26  0.03 19.43  0.08 19.47  0.18 12.03  0.50 19.51  0.03 27 0.04
