RA(hms),DEC(dms),Redshift,RAh,RAm,RAs,DECd,DECm,DECs,ra,dec
00:01:21.63,+26:50:09.17,5.75,0,1,21.63,26,50,9.17,0.340125,26.835880555555555
00:02:39.39,+25:50:34.96,5.82,0,2,39.39,25,50,34.96,0.6641250000000001,25.843044444444445
00:05:52.34,-00:06:55.80,5.85,0,5,52.34,0,6,55.8,1.4680833333333334,-0.1155
00:08:25.77,-06:26:04.42,5.93,0,8,25.77,-6,26,4.42,2.1073749999999998,-6.434561111111111
00:09:30.89,+32:52:12.94,6.1,0,9,30.89,32,52,12.94,2.3787083333333334,32.87026111111111
00:17:34.47,+17:05:10.70,5.8,0,17,34.47,17,5,10.7,4.393625,17.086305555555555
00:19:15.38,-24:17:56.98,5.68,0,19,15.38,-24,17,56.98,4.8140833333333335,-24.29916111111111
00:28:06.56,+04:57:25.64,6.0,0,28,6.56,4,57,25.64,7.027333333333334,4.957122222222222
00:33:11.40,-01:25:24.90,6.13,0,33,11.4,-1,25,24.9,8.297500000000001,-1.4235833333333334
00:37:25.76,-08:07:08.46,5.72,0,37,25.76,-8,7,8.46,9.357333333333335,-8.119016666666667
00:38:36.10,-15:27:23.60,7.021,0,38,36.1,-15,27,23.6,9.650416666666665,-15.456555555555555
00:38:56.52,-10:25:53.90,5.95,0,38,56.52,-10,25,53.9,9.7355,-10.43163888888889
00:45:33.58,+09:19:30.00,6.42,0,45,33.58,9,19,30.0,11.389916666666668,9.325
00:50:06.67,+34:45:21.65,6.252999999999999,0,50,6.67,34,45,21.65,12.527791666666667,34.75601388888889
00:55:02.91,+01:46:18.30,6.006,0,55,2.91,1,46,18.3,13.762125,1.77175
01:00:13.02,+28:02:25.92,6.3258,1,0,13.02,28,2,25.92,15.05425,28.040533333333336
01:02:50.64,-02:18:09.90,5.95,1,2,50.64,-2,18,9.9,15.711000000000002,-2.3027499999999996
01:09:53.13,-30:47:26.31,6.7909,1,9,53.13,-30,47,26.31,17.471375000000002,-30.79064166666667
01:25:41.12,-25:52:56.24,5.79,1,25,41.12,-25,52,56.24,21.421333333333333,-25.88228888888889
01:29:58.51,-00:35:39.70,5.7787,1,29,58.51,0,35,39.7,22.493791666666667,-0.5943611111111111
01:32:01.70,-02:16:03.11,5.9,1,32,1.7,-2,16,3.11,23.00708333333333,-2.2675305555555556
01:36:03.17,+02:26:05.70,6.21,1,36,3.17,2,26,5.7,24.013208333333335,2.434916666666667
01:40:57.03,-11:40:59.48,5.85,1,40,57.03,-11,40,59.48,25.237624999999998,-11.683188888888889
01:42:43.73,-33:27:45.47,6.31,1,42,43.73,-33,27,45.47,25.682208333333335,-33.462630555555556
01:48:37.64,+06:00:20.06,5.98,1,48,37.64,6,0,20.06,27.156833333333335,6.005572222222222
01:58:04.14,-29:05:19.25,5.99,1,58,4.14,-29,5,19.25,29.51725,-29.088680555555555
01:59:57.97,-36:33:56.60,6.02,1,59,57.97,-36,33,56.6,29.991541666666667,-36.56572222222222
02:03:32.38,+00:12:29.27,5.72,2,3,32.38,0,12,29.27,30.884916666666662,0.20813055555555557
02:10:13.19,-04:56:20.90,6.4323,2,10,13.19,-4,56,20.9,32.55495833333333,-4.939138888888889
02:11:44.53,-02:03:03.90,6.37,2,11,44.53,-2,3,3.9,32.935541666666666,-2.051083333333333
02:13:16.94,-06:26:15.20,6.72,2,13,16.94,-6,26,15.2,33.32058333333334,-6.437555555555556
02:16:27.81,-04:55:34.10,6.01,2,16,27.81,-4,55,34.1,34.115875,-4.9261388888888895
02:16:38.85,-52:26:20.60,6.41,2,16,38.85,-52,26,20.6,34.161874999999995,-52.439055555555555
02:20:29.72,-04:32:04.00,5.9,2,20,29.72,-4,32,4.0,35.12383333333334,-4.5344444444444445
02:21:22.71,-08:02:51.50,6.1610000000000005,2,21,22.71,-8,2,51.5,35.344625,-8.047638888888889
02:26:01.87,+03:02:59.42,6.5412,2,26,1.87,3,2,59.42,36.50779166666667,3.049838888888889
02:27:43.29,-06:05:30.20,6.2,2,27,43.29,-6,5,30.2,36.930375000000005,-6.091722222222222
02:31:52.96,-28:50:20.08,6.0,2,31,52.96,-28,50,20.08,37.970666666666666,-28.83891111111111
02:39:30.24,-00:45:05.40,5.82,2,39,30.24,0,45,5.4,39.876,-0.7515
02:40:03.82,+17:32:44.91,5.68,2,40,3.82,17,32,44.91,40.01591666666666,17.545808333333333
02:46:55.90,-52:19:49.90,6.87,2,46,55.9,-52,19,49.9,41.73291666666667,-52.33052777777778
02:50:40.58,-02:55:02.82,5.89,2,50,40.58,-2,55,2.82,42.66908333333334,-2.9174499999999997
02:52:16.64,-05:03:31.80,7.02,2,52,16.64,-5,3,31.8,43.06933333333333,-5.058833333333333
03:00:44.18,-22:32:27.19,5.68,3,0,44.18,-22,32,27.19,45.184083333333334,-22.540886111111114
03:03:31.40,-00:19:12.90,6.077999999999999,3,3,31.4,0,19,12.9,45.88083333333333,-0.32025
03:05:16.92,-31:50:55.90,6.6145,3,5,16.92,-31,50,55.9,46.3205,-31.84886111111111
03:16:49.87,-13:40:32.30,5.99,3,16,49.87,-13,40,32.3,49.207791666666665,-13.675638888888889
03:17:10.42,-26:33:15.71,5.94,3,17,10.42,-26,33,15.71,49.293416666666666,-26.55436388888889
03:19:41.66,-10:08:46.00,6.83,3,19,41.66,-10,8,46.0,49.923583333333326,-10.14611111111111
03:28:35.51,-32:53:22.84,5.86,3,28,35.51,-32,53,22.84,52.147958333333335,-32.88967777777778
03:35:50.53,-15:47:44.50,5.87,3,35,50.53,-15,47,44.5,53.960541666666664,-15.795694444444445
03:41:41.86,-00:48:12.74,5.68,3,41,41.86,0,48,12.74,55.424416666666666,-0.8035388888888889
03:46:52.04,-16:28:36.88,5.99,3,46,52.04,-16,28,36.88,56.716833333333334,-16.47691111111111
03:53:49.73,+01:04:04.66,6.072,3,53,49.73,1,4,4.66,58.457208333333334,1.0679611111111111
04:02:12.69,+24:51:24.43,6.18,4,2,12.69,24,51,24.43,60.55287499999999,24.856786111111113
