ra,dec,W1mag,W2mag,W3mag,PS1zmag,PS1ymag,Jmag
222.61696668686025,-7.1861367174068205,16.453,15.633,12.858,25.6807994842529,23.9545993804932,19.8295
220.86872373712995,-6.820093548539704,15.828,15.38,12.71,22.5625991821289,21.0223007202148,19.3157
184.4417519352999,-4.583902633478352,17.045,15.841,12.505,23.5436992645264,21.1457004547119,18.9712
190.4173307300047,-4.396750981253583,16.602,15.981,12.001,22.9470996856689,21.3850002288818,18.8314
209.320277095636,-4.934011012713512,17.446,17.058,12.83,23.2752990722656,21.4965000152588,19.2694
162.99101323736,-5.434918059052798,17.366,16.732,12.758,22.7229995727539,21.1772003173828,19.1605
166.5271896104019,-8.302915691958558,16.842,16.122,12.573,22.5053997039795,20.7985992431641,18.3318
167.63321004200546,-9.66977063945415,16.786,15.803,12.531,22.0790996551514,20.453800201416,18.0863
168.5110189587058,-7.302229462081972,17.427,16.394,12.625,22.4030990600586,20.8668994903564,18.3036
175.8773967132061,-5.178950765296335,17.471,16.573,12.65,23.1025009155273,21.3521003723145,19.3909
171.60286891231607,-6.624135341923117,16.897,15.775,12.666,22.2318000793457,20.4122009277344,17.8587
176.43644055465174,-8.8132489375498,16.681,16.328,12.107,23.2143001556396,21.4944000244141,19.368
177.93390672839644,-5.121994876222766,17.458,16.61,12.489,22.7194995880127,20.7229995727539,19.159
178.07516705976985,-6.404145737579507,17.072,16.731,12.4,22.986400604248,21.4185009002686,19.6796
173.64668976812067,-6.670280650487287,17.39,16.818,12.567,22.9654006958008,21.2691993713379,19.2915
174.6416212129022,-5.467237869852573,17.301,16.976,12.546,22.6333999633789,20.8581008911133,19.2589
170.89962338659174,-8.405367900335827,17.319,16.444,12.386,23.7234001159668,20.7040004730225,18.4993
187.60416575968898,-6.265627112854841,17.056,16.39,12.53,22.6056995391846,20.9365005493164,18.9146
185.65587718476226,-9.94237049957398,17.229,16.257,12.176,27.7441997528076,24.94580078125,18.3709
181.1937381529972,-9.375939707753675,16.813,15.885,11.403,22.3372993469238,20.4230003356934,19.4662
199.8825318595702,-9.959895332446877,17.632,16.74,12.723,23.8363990783691,21.4871006011963,20.164
191.023550946309,-7.697987955437401,16.734,16.312,12.489,22.9860000610352,21.252799987793,18.8964
190.82601724921244,-6.069525046747164,17.558,16.499,12.542,22.9314002990723,21.2373008728027,19.2649
196.27844134650127,-6.866057013957406,17.416,16.884,12.761,23.4134998321533,21.698600769043,19.6701
208.20507677715582,-9.372948002379129,17.631,16.755,12.165,22.619499206543,21.0450992584229,19.3829
203.8646891357689,-5.847752946611838,17.85,16.699,12.678,23.1364994049072,21.1828994750977,18.8788
203.38858351868853,-6.899573519376308,17.005,16.547,12.243,22.9671001434326,20.9263000488281,18.6868
204.81630271172406,-8.850259006789402,16.674,15.602,12.062,21.970100402832,20.2640991210938,17.8255
200.68825926875564,-9.926840012327652,17.201,16.804,12.799,23.0072994232178,21.2446002960205,19.8955
207.74499419679057,-9.503263700658211,17.47,16.661,12.49,23.4368000030518,21.5347995758057,19.538
214.85540463634553,-6.377252284410421,17.717,16.996,12.704,23.2392997741699,21.3258991241455,19.4842
215.67174046549485,-7.711715936642732,17.494,17.138,12.564,24.0958995819092,21.4925994873047,19.6329
217.35243642838282,-8.044186529888739,17.818,17.06,12.765,22.7754001617432,21.2236995697021,19.0806
217.04397939379385,-7.556853455762801,17.042,16.579,12.744,23.5291996002197,21.4815998077393,19.7878
213.8132187883416,-5.991636146101373,17.531,16.95,12.665,22.9535007476807,21.3118000030518,19.1384
218.25217189670568,-7.191302577664709,16.347,15.577,12.404,24.3752994537354,21.8031997680664,20.0987
219.99293735142257,-5.472696886524234,16.856,15.887,12.768,22.1550998687744,20.3936004638672,18.4798
150.4116946273334,-0.6709697664149961,17.55,16.865,12.474,25.0921993255615,20.8931999206543,19.7024
156.4132228855337,-0.6076042911810757,17.018,16.567,11.93,23.540599822998,21.4006996154785,20.1915
157.23314209872214,-6.5409368018449845,16.846,16.3,12.25,23.0037002563477,20.7525005340576,18.5214
151.05945014970825,-8.520114568298013,16.881,16.327,12.101,24.6361999511719,21.2427997589111,19.5261
